product_category_name_english,review_comment_title,review_comment_message
perfumery,Vale a pena ,Super adooorei o delineador ele é bem preto e eu smp usei o da Mac e serio o da belle angel me surpreendeu pq eu achei que por ser barato iria ser ruim mas NAO é ... o unico problema é q ele é pequeno
baby,produto divergente,"modelo comprado: travesseiro memoria carinho BABY PILLOW / modelo entregue: travesseiro memoria carinho PRAM PILLOW.
Até o momento nenhum posicionamento do vender para a troca"
bed_bath_table,Super Recomendo,"Entrega super rápida! 
"
furniture_decor,Ótimo,Chegou rápido e são lindos!
furniture_decor,Amei,Exatamente como na foto e de otima qualidade... chegou antes do prazo... recomendo...
furniture_decor,Bom,Produto bonito
computers_accessories,Chegou rapido,"adorei a minha pasta multi-uso,chegou rapido"
office_furniture,Custo x Benefício Otimo,"Cadeira fácil de montar, confortável. A entrega é um pouco demorada, mas mesmo assim chegou antes do prazo."
electronics,Bom produto,"Atende o objetivo, porém a porta hdmi 2 apresenta falha na imagem ao ligar o hdmi do notebook."
toys,Robô de brinquedo,Ótimo produto eu recomendo
cool_stuff,Não recebi o produto ,Não recebi o produto e o prazo acabou 
sports_leisure,recomendo,e bomcomprtar ns lojas lannister
watches_gifts,Muito bom,"Muito bom o atendimento e o produto é ótimo muito bom,amei......"
perfumery,Não passou confiança ,"O fornecedor e a nf é de São Paulo, o produto veio do Paraná, na nota fiscal veio na descrição de 4 perfumes de 75,00 cada, não descreveu o que eu realmente comprei, um perfume Dolce Gabbana de 300,00"
perfumery,Muito bom !!,Recomendo tanto o site lannister quanto a loja parceira targaryen .
perfumery,Não recebimento ,Não recebi o produto
watches_gifts,Recomendo,"Entregue antes do prazo, super recomendo! 
"
bed_bath_table,Recomendo,Bom produto
health_beauty,atrazado,não recebi ainda
health_beauty,Decepcionado.,"Todo correto, exceto o produto que é de péssima qualidade."
health_beauty,Médio ,Não recebi na cor que estava no anúncio 
health_beauty,Insatisfeito,No site o produto parece ter melhor qualidade de material e acabamento.
computers_accessories,SUPER RECOMENDO,"Chegou rapidíssimo. Adorei o produto. A única coisa que achei ruim, porém sem um conceito totalmente formado, é sobre a duração da bateria. Fora isso perfeito. A imagem super nítida."
watches_gifts,Produto com defeito,O produto tem um pequeno defeito e eu solicitei a troca. Estou aguardando instruções.
sports_leisure,Excelente,"Entrega super rápida.muito bom
"
sports_leisure,bom,pensava que os anzóis eram maiores mas ta bom !!
sports_leisure,recomendado,muito bom atendimento produtos corretos 
home_construction,Luminárias ,Bom
home_construction,super recomendo,"Produto lindo,adorei!!"
home_construction,super recomendo,"Fiquei muito satisfeita com o produto,fiz um pedido especial para entrega ,e eles acolheram este pedido,que pra mim fez toda a diferença.Muito feliz obrigada nota 10."
home_construction,Prazo,Só o prazo que um pouco estenso 
home_construction,Excelente ,Fiquei muito satisfeito com o trabalho realizado pela empresa. 
pet_shop,Recomendo muito bom,"Chegou antes da data prevista, tudo ok"
pet_shop,Maquina de Tosa ,"Ainda não foi feito tosa com ela , mais em principio muito boa "
pet_shop,"Otimo,eu recomendo","O produto chegou certinho bem embalado ,lacrado e chegou bem antes do prazo combinado ,fiquei muito satisfeita com minha compra eu recomendo as lojas lannister ."
pet_shop,Excelente.,Super indico tanto a loja como o prpduto máquina leve sem barulho trabalho perfeito entregue antes do prazo amei 👏👏👏👏👏
consoles_games,Muito Bom,Chegou muito antes do prazo estimado
sports_leisure,Recomendo 100%.,Recebi o produto exatamente de acordo com o pedido e dentro do prazo previsto. Parabéns a targaryen e ao stark.
sports_leisure,Boa,Ao contrário da Poli House entregou o produto solicitado e bem antes do prazo previsto. Estou aguardando solução da Poli House para a compra que não tiveram o produto para me entregar. 
cool_stuff,Cinco estrelas ,Muito boa 
bed_bath_table, Entrega parcial,"Comprei 2 produtos, no entanto apenas 1 foi entregue até o momento. No aguardo do Contato da loja para acerto! "
bed_bath_table,Recomendo,"O produto chegou antes do prazo, exatamente o que pedi os entregadores muito gentis."
bed_bath_table,negativa,"utilizo o site das amaericanas a muitos anos, sempre tive um bom retorno, as vezes demora,mas os produtos chegam sempre embalados. mas dessa vez não recebi, por isso a avaliação negativa."
auto,Excelente,"Ainda não testei, mas parace ser um Excelente produto e foi entregue antes do prazo."
fashion_bags_accessories,Compra,Excelente 
auto,Meu pedido,"Fiz essa compra já tem quase um mês, e até agora ainda não recebi meu pedido. "
telephony,Película para camera,"Não foi entregue!,,"
telephony,Ótimo Produto!,Recomendo!!!
electronics,7,Não recebi 
electronics,Material faltando,"Bom dia
Comprei 2 controles e chegou apenas 1"
auto,TOP,"Muito boa, reforçado cabo de aço, chave tetra, comprei para prender minha magrela, recomendo
"
bed_bath_table,Péssimo ,"Além de não entregar o produto, fiz uma reclamação é não deram nenhuma satisfação."
electronics,Vou devolver,"Devido incompatibilidade vou devolver, ótimo produto! "
electronics,Ok,Atende
watches_gifts,Excelente ,"Produto conforme descrito, entrega rápida. "
home_construction,Muito bom ,"Embora eu ainda nao instalei, mas me parece um produto muito bom, chegou rapido, bem antes da data da entrega. Recomendo a todos. "
housewares,recomendo ,Estou aguardando uma posição da loja em relação a disponibilidade do produto
housewares,recomendo,Estou aguardando uma posição da loja em relação a disponibilidade do produto
consoles_games,TUDO OK,TUDO OK
sports_leisure,Recomendo.,Recomendo.
home_appliances,Ótimo,"Parabéns vendedor ótimo profissional
"
sports_leisure,Super recomendo,Produto entregue antes do prazo acordado.
baby,Antes do prazo ,Tudo certo produto ótimo e ainda foi entregue muito antes do prazo 
electronics,Prazo,"Produto enviado dentro do prazo. Como ainda não tive contato com a mercadoria, não posso opinar em relação à qualidade."
electronics,Satisfeito,"Produto chegou no prazo, e deu tudo certo"
electronics,Indico ,Produto correto de qualidade e com envio muito antes do prazo. Recomendo.
telephony,Produto top,Gostei muitoa película protege e não prejudica nada na sensibilidade do touch
bed_bath_table,Excelente,"Sou cliente baratheon há algum tempo e sempre recebi meus produtos no prazo e perfeito, sem haver necessidade de troca. "
cool_stuff,Dentro do prazo,"Qualidade, segurança e rapidez na entrega.
?????"
cool_stuff,Decepcionado ,"Eu comprei o produto, a qualidade dele não é a oque esperei, o valor na nota fiscal veio diferente do preço anunciado, tentei entrar em contato com vocês 5 vezes, para devolver o produto e vocês nada."
cool_stuff,Produto ótimo.,"O produto é novo e vem com caixa , recomendo."
cool_stuff,Maravilhosa..,Compro a bastante tempo nas lannister e os produtos sempre chegam bem antes do prazo e são de ótimas qualidades 
cool_stuff,Super Recomendo,parabens ao grupo stark chegou antes do prazo produto de qualidade ... 
construction_tools_safety,Melhor que esperado ,Ótimo fornecedor 
bed_bath_table,Otimo,chegou no prazo produto bom
bed_bath_table,Pendente entrega,Nao chegou o cobertor
bed_bath_table,Mm,Não sei pq a venda foi dividida em duas partes. Não gostei. A parte que coube às L Ameicanas não foi cumprida. 
bed_bath_table,?,Ainda não recebi
bed_bath_table,super recomendo,"ótima loja , preços muito bom , entrega super rápida , recomendo a todos "
bed_bath_table,ótima ,Produto excelente. Correspondeu as expectativas.
bed_bath_table,recomentdo,"Produto bom, é fino, mas aquece"
baby,Cuidado com a imagem,"A única observação é que se trata apenas de um teimosinho, o que pela imagem parece que receberá dois."
baby,Especificar o conteúdo ,"A imagem divulgada da a impressão de que se trata de dois itens, porém na verdade é apenas um."
auto,Produto faltante ,Só me enviou um produto de dois comprados no mesmo pedido ...
sports_leisure,Boa loja,Bom 
sports_leisure,Muito boa,O produto chegou dentro do prazo.
sports_leisure,super recomendo ,fis uma execenti conpra muito bem atendido valeu 
sports_leisure,ótimo ,Fiquei contente com a agilidade de vocês e a preocupação que vocês tem com os clientes. Parabéns. 
sports_leisure,Recomendo,Ainda experimentando o produto
sports_leisure,Recomendo!,Entrega muito rápida!
sports_leisure,Ótimo ,Muito bom o produto 
construction_tools_construction,ótimo,"produto ótimo entregue antes do prazo, agora é só esperar o friozinho do sul passar pra testar no meu banheiro"
air_conditioning,Recomendo ,Tudo dentro do esperado. 
auto,Muito bom!!!!!!,Recomendo!!!!!
health_beauty,Ótimo,Rápido e correto. Recomendo.
sports_leisure,Entrega Super Rápida,Recomendo!!
garden_tools,Recomendo com restrições.,"Bom para aplicação de defensivos e adubos diluídos. Produto reforçado, boa pressão, mas esguicho bem fraco."
garden_tools,targaryen APROVADA!,"targaryen APROVADA! Faltou apenas uma embalagem de papelão além da embalagem principal do próprio produto, mais por segurança. Mas eu recomendo a loja e o produto."
cool_stuff,Excelente ,"Amei ... Chegou bem antes do braço, recomendo "
garden_tools,super recomendo,"RECEBI TUDO CERTINHO , MAIS AINDA NAO USEI, GOSTEI DO VISUALDA FERRAMENTA."
consoles_games,Cadê meu produto,Já to a tempo esperando e a unica mensagem que recebi foi que meu pedido não foi enviado e depois nada.
air_conditioning,Fui enganado,Fui enganado por um produto similar ao da bosch....nao prestei atenção na hora de comprar...quando foi minha surpresa ao receber e vi que era um produto similar...se fosse pra comprar um produto desse
air_conditioning,Não recebi o produto,Dos 7 produtos que comprei recebemos apenas 1 mandei mensagem mas até agora sem resposta
sports_leisure,Bom,"Entregou antes do prazo 
Excelente "
sports_leisure,Dez,Muito bom compra com VCS minha patroa tá impolgada
sports_leisure,Ótimo,Ótima vendedor
watches_gifts,Produto incorreto,Preciso da devolução imediata do valor da compra
fashion_bags_accessories,Excelente ,"Recebi o produto muito rápido. Recomendo, a qualidade é ótima! "
fashion_bags_accessories,Descrição deixou a deseja,"As informações da descrição do produto eram poucas e me levaram a idealizar um produto um pouco diferente do que comprei, não satisfazendo totalmente as minhas necessidades. "
books_general_interest,Muito bom ,Muito profissional a entrega. Perfeito! Ainda teriam 3 dias para entregar e já está na mão. Minha filha é quem agradece. 
housewares,Recomendo sim,"Na verdade, eu fiquei foi surpreso com a rapidez da entrega. Realmente foi muito antes do prazo estipulado."
furniture_decor,eu recomendo muito bom,"muito bom
"
garden_tools,supr recomendo,"produto bom, leve, forte. Facil utilização.entrega super rápida"
sports_leisure,Péssimo,O produto recebido é diferente e inferior ao adquirido.Não confere com as especificações anunciadas.
telephony,Recomendo,"Uma compra simples, e uma entrega dentro do prazo esperado. O produto parece de boa qualidade. Com mais dias de uso, claro, poderia dar uma opinião mais adequada."
perfumery,muito bom!!,Entrega antes do Prazo
sports_leisure,Recomendo ,"Adorei 
Chegou em 2 dias "
sports_leisure,Nao recebi o produto,Espero ainda receber o produto🙏🏻
perfumery,super recomendo,"Tudo perfeito, produto, prazo e principalmente o preço!!"
sports_leisure,Luvas,Comprei mas nao veio entrega ainda queria dabe onde esta o produto
sports_leisure,Entrega Rapida,Recebi o produto em tempo recorde e da forma solicitada. 
telephony,Decepção,"A compra feita em janeiro, não entregue, agora, com restituição do valor através de voucher, nada de entregar."
electronics,Nota 10,"O controle funcionou perfeitamente. Além disso, chegou antes do prazo e com nota fiscal. Recomendo!!!"
electronics,Otima,Muito bom atendimento e serviço prestado!
bed_bath_table,entrega boa,"o material nunca é igual a impressão que temos na tela, de toda forma o serviço foi muito bom."
perfumery,Entrega Incompleta,Eu comprei 2 perfumes e veio apenas um! Quero o estorno do meu dinheiro!
perfumery,Super recomendo!,Vendendor perfeito! Recomendo a todos!
perfumery,Super recomendo ,"Parabéns pelo comprometimento com os clientes, Obrigada "
sports_leisure,Nunca mais compro!,"Comprei 2 bolsas com 2 garrafas do fluminensevno mesmo pedido, iguais, recebi 1 bolsa e 1 garrafa, na nota constam 2 e só recebi um código de rastreamento sem nenhuma informação de postagens separadas"
small_appliances,Super recomendo,A loja é ótima. O produto chegou até antes do previsto e bem acondicionado. 
bed_bath_table,mercadoria entregue ,"Ainda falta entregar uma colcha de cama de casal.
um dos jogos de lençol não foi o mesmo que escolhi."
fashion_bags_accessories,Adorei ,"Tudo certo, bem embalado, chapéu lindo! "
furniture_living_room,Produto muito bom,Produto de ótima qualidade e entregue muito antes do prazo.
watches_gifts,NÃO entregue,Comprei 2 relógios mas só chegou 1. Já mandei mensagens informando e até agora não tive respostas.
health_beauty,chegou antes do prazo!!! ,:)
housewares,Ruim,Demora a entrega do produto
housewares,Muito satisfeita,"O produto é para uma pessoa, ainda não foi testado, espero que funcione bem num fogão por indução, que é o propósito. 
Obrigada a todos! Parceiro e lannister!! "
computers_accessories,super recomendo,Excelente obrigado chegou antes do prazo tudo perfeito.funcionando maravilhosamente.abracos.
computers_accessories,Prazo certo,Chegou no prazo e chegou sem defeitos
bed_bath_table,PRODUTO FORA DE EMBALAGEM,"Produto sem embalagem e etiqueta. Não entendi a proposta. Creio que veio de uma tecelagem, pois os lençóis vieram sem embalagem do produto e etiqueta."
auto,Ótimo produto!,"Além de um ótimo produto o prazo foi insuperável!
Entrega em 4 dias!!!"
signaling_and_security,tranca moto,produto fraco
auto,muito bom,bom de muita utilidade
auto,recomendo,atende o que promete tipo pelo valor ta dentro do que promete
auto,Gratidao,Muito bom o apoio
auto,Pontual ,"Recebi o produto, ainda não usei portanto, não posso qualificar o mesmo "
auto,Nota3,"Comprar um produto correto na capa mas interno ser outro.???????
"
watches_gifts,LINDO!!,"Super leve, porem nas fotos aparenta ser um pouco maior. Pequeno e lindo!"
furniture_decor,Não recebi o produto.,Comprei três luminárias e só chegou uma...
furniture_decor,Otimo Produto,"Produto excelente, de custo baixo, ou seja juntou o util ao agradevel.
"
consoles_games,Tudo certo ,"Produto muito bom, tudo certo no meu PS4, recomendo."
construction_tools_construction,Boa.,Eu gostei porém não estarei aínda.
